stitch_id,drug_name,disease_term,side_effect,drugbank_id,name,description,type,groups,synonyms,targets,ATC
CID100009904,nandrolone,Anaemia;Renal failure;Renal impairment,Acne;Alopecia;Azoospermia;Diarrhoea;Disturbance in sexual arousal;Drug interaction;Enlarged clitoris;Epididymitis;Erectile dysfunction;Glucose tolerance decreased;Gynaecomastia;Haemoglobin;Haemorrhage;Hirsutism;Insomnia;Irritability;Libido decreased;Menstruation irregular;Nausea;Neoplasm;Oedema;Oligospermia;Peliosis hepatis;Priapism;Testicular atrophy;Vomiting,DB13169,Nandrolone,"Nandrolone, also known as 19-nortestosterone or 19-norandrostenolone, is a synthetic anabolic-androgenic steroid (AAS) derived from testosterone.",small molecule,experimental; investigational,(17β)-17-hydroxyestr-4-en-3-one; 19-norandrostenolone; 19-nortestosterone; Nandrolona; Nandrolone; Nandrolonum; DHTR; Dihydrotestosterone receptor; NR3C4; Nuclear receptor subfamily 3 group C member 4,Androgen receptor, A14AB01;A14AB01;S01XA11
CID100010100,propoxyphene,Pain,Abdominal pain;Abnormal behaviour;Acute coronary syndrome;Arrhythmia;Asthenia;Ataxia;Bradycardia;Cardiac arrest;Cardiac disorder;Cardiac failure congestive;Cardio-respiratory arrest;Coma;Completed suicide;Confusional state;Constipation;Convulsion;Dermatitis;Diarrhoea;Dizziness;Drug ineffective;Drug interaction;Drug tolerance;Drug withdrawal syndrome;Dysphoria;Dyspnoea;Euphoric mood;Eye disorder;Eye swelling;Feeling abnormal;Gastrointestinal disorder;Gastrointestinal haemorrhage;Gastrointestinal pain;Hallucination;Headache;Hepatic function abnormal;Hepatic steatosis;Hepatobiliary disease;Hepatocellular injury;Hepatomegaly;Hip fracture;Hypersensitivity;Hypotension;Immune system disorder;Jaundice;Jaundice cholestatic;Lightheadedness;Liver function test abnormal;Liver injury;Loss of consciousness;Malnutrition;Mediastinal disorder;Metabolic acidosis;Myocardial infarction;Myopathy;Nausea;Nervous system disorder;Pancreatitis acute;Pulmonary function test decreased;Rash;Respiratory arrest;Respiratory depression;Shock;Somnolence;Syncope;Tachycardia;Vision blurred;Visual disturbance;Visual impairment;Vomiting,DB06793,Levopropoxyphene,"Levopropoxyphene is a stereoisomer of propoxyphene in the form of 2S, 3R enantiomer. It was sold as an antitussive, but it was removed from the market in the 70s.[T133] Levopropoxyphene was developed by Lilly and FDA approved on March 21st, 1962. This drug presented different dosages and it was administered as a capsule or suspension.",small molecule,withdrawn,(-)-Propoxyphene; (l)-Propoxyphene; levopropoxifeno; Levopropoxyphene; hMOP; M-OR-1; MOP; MOR-1; MOR1; Mu opiate receptor; Mu opioid receptor,Mu-type opioid receptor,N02AC04
CID100010340,sodium,Acid-base disorders;Acidosis;Cardiac arrest;Cardiovascular insufficiency;Circulatory insufficiency;Dehydration;Diabetes mellitus;Diarrhoea;Discomfort;Haemolysis;Hemolytic reaction;Hyperkalaemia;Injection site pain;Intoxication;Ketoacidosis;Lactic acidosis;Metabolic acidosis;Nephropathy;Nephropathy toxic;Nephrotoxicity;Pain during injection;Poisoning;Poisoning by salicylates;Renal failure;Renal failure chronic;Renal impairment;Renal tubular acidosis;Road traffic accident;Shock;Tension;Toxicity to various agents,Abdominal bloating;Abdominal cramps;Abdominal distension;Abdominal pain;Alkalosis;Anal irritation;Anorectal discomfort;Blood osmolarity increased;Brain oedema;Calcinosis;Carbon dioxide increased;Cellulitis;Edema cerebral;Extravasation;Feeling hot;Flatulence;Fullness abdominal;Haemorrhage intracranial;Hypercapnia;Hypernatraemia;Hyperventilation;Hypokalaemia;Metabolic alkalosis;Nausea;Necrosis;Plasma osmolality increased;Tetany;Ulcer;Vomiting;Warmth,,,,,,,,B05CB04
CID100010413,hydroxybutyrate,Cataplexy;Excessive daytime sleepiness;Narcolepsy;Somnolence,Abdominal distension;Abdominal pain;Abdominal pain upper;Abnormal dreams;Accidental injury;Acne;Ageusia;Agitation;Akathisia;Alanine aminotransferase increased;Albuminuria;Alopecia;Amblyopia;Amnesia;Anaemia;Angiopathy;Anorexia;Anxiety;Apathy;Apnoea;Arthralgia;Arthritis;Aspartate aminotransferase increased;Asthenia;Ataxia;Back pain;Balance disorder;Bladder pain;Blood alkaline phosphatase increased;Blood creatinine increased;Blood pressure increased;Blood sodium increased;Blood uric acid increased;Bone disorder;CNS depression NOS;Cardiac disorder;Cataplexy;Chest pain;Chills;Coma;Confusional state;Connective tissue disorder;Constipation;Convulsion;Cramps of lower extremities;Creatinine increased;Cystitis;Cystitis noninfective;Decreased appetite;Dehydration;Depersonalisation;Depressed level of consciousness;Depression;Dermatitis;Dermatitis contact;Diarrhoea;Disorientation;Disturbance in attention;Disturbance in sexual arousal;Dizziness;Dry mouth;Dysgeusia;Dysmenorrhoea;Dyspepsia;Dyspnoea;Ear and labyrinth disorders;Ecchymosis;Enlargement abdomen;Enuresis;Epistaxis;Euphoric mood;Eye disorder;Faecal incontinence;Fatigue;Feeling abnormal;Feeling drunk;Flat affect;Fluid retention;Gastrointestinal disorder;Gastrointestinal pain;Haematuria;Hallucination;Hangover;Headache;Hiccups;Hyperbilirubinaemia;Hypercholesterolaemia;Hyperglycaemia;Hyperhidrosis;Hyperkinesia;Hypernatraemia;Hypersensitivity;Hypertension;Hypertonia;Hyperuricaemia;Hypoaesthesia;Hypocalcaemia;Immune system disorder;Incontinence;Infection;Infestation;Infestation NOS;Influenza;Initial insomnia;Injury;Insomnia;Irritability;Leukocytosis;Libido decreased;Loss of consciousness;Lymphadenopathy;Malnutrition;Mediastinal disorder;Memory impairment;Mental disability;Mental disorder;Metrorrhagia;Micturition urgency;Middle insomnia;Mouth ulceration;Muscle spasms;Muscular weakness;Musculoskeletal discomfort;Musculoskeletal stiffness;Myalgia;Myasthenia;Myoclonus;Nasal congestion;Nasopharyngitis;Nausea;Neck stiffness;Nervous system disorder;Nervousness;Neuralgia;Nightmare;Nuchal rigidity;Oedema;Oedema peripheral;Pain;Pain in extremity;Palpitations;Panic attack;Paraesthesia;Paralysis;Paranoia;Paranoid reaction;Parasomnia;Pharyngitis;Phosphatase alkaline increased;Pollakiuria;Polycythaemia;Psychotic disorder;Pulmonary function test decreased;Rash;Respiratory depression;Restless legs syndrome;Rhinitis;Shock;Sinusitis;Skin disorder;Sleep apnoea syndrome;Sleep disorder;Sleep paralysis;Snoring;Sodium high;Somnambulism;Somnolence;Stomatitis;Stupor;Suicidal ideation;Suicide attempt;Sweating increased;Syncope;Tension;Thinking abnormal;Thirst;Tinnitus;Tremor;Unspecified disorder of skin and subcutaneous tissue;Urethral disorder;Urinary incontinence;Urinary tract disorder;Urticaria;Vertigo;Viral infection;Vision blurred;Vomiting;Weight decreased;Weight increased;Withdrawal syndrome,,,,,,,,N01AX11
CID100010547,echothiophate,Accommodative component in esotropia;Angle closure glaucoma;Chronic angle-closure glaucoma;Chronic open angle glaucoma;Esotropia;Glaucoma;Open angle glaucoma;Primary open angle glaucoma;Strabismus,Cyst;Erythema;Iritis;Lacrimation;Lacrimation increased;Lenticular opacities;Muscle twitching;Myopia;Pain;Redness;Retinal detachment;Stinging;Uveitis;Vision blurred,DB01057,Echothiophate,"A potent, long-acting irreversible cholinesterase inhibitor used as an ocular hypertensive in the treatment of glaucoma. Occasionally used for accomodative esotropia.",small molecule,approved,"2-(Diethoxyphosphorylsulfanyl)ethyl-N,N,N-trimethylazanium iodide; Echothiophate; Ecothiopate; Ecothiopatum; Phospholine; 3.1.1.8; Acylcholine acylhydrolase; Butyrylcholine esterase; CHE1; Choline esterase II; Pseudocholinesterase; 3.1.1.7; AChE",Cholinesterase; Acetylcholinesterase,S01EB03
CID100010631,medroxyprogesterone,Amenorrhea secondary;Amenorrhoea;Bone cancer metastatic;Breast cancer;Carcinoma;Dysmenorrhoea;Dyspareunia;Endometrial cancer;Endometrial hyperplasia;Endometriosis;Hormone level abnormal;Hot flush;Imbalance hormonal;Induration;Menopausal symptoms;Neoplasm malignant;Nulliparous;Pain;Pelvic pain;Pregnancy;Renal cell carcinoma;Tenderness;Unintended pregnancy;Uterine cancer;Uterine haemorrhage,Abdominal bloating;Abdominal cramps;Abdominal distension;Abdominal pain;Abscess;Acne;Acute coronary syndrome;Alopecia;Amenorrhoea;Anaemia;Anaphylactic shock;Anaphylactoid reaction;Angioedema;Angiopathy;Anorgasmia;Anovulation;Anovulatory cycle;Anxiety;Arthralgia;Asthenia;Asthma;Back pain;Bladder pain;Bleeding breakthrough;Blindness;Blood and lymphatic system disorders;Blood disorder;Blood pressure increased;Body odor;Body temperature increased;Bone disorder;Breast cancer;Breast discharge;Breast disorder;Breast mass;Breast pain;Breast tenderness;Bronchitis;Cardiac disorder;Cerebral thrombosis;Cerebrovascular accident;Cervix carcinoma;Chest pain;Chills;Chloasma;Chorea;Convulsion;Cramps of lower extremities;Cushing's syndrome;Cushingoid;Cystitis;Cystitis noninfective;Deep vein thrombosis;Dementia;Depression;Dermatitis;Dermatitis hemorrhagic;Diarrhoea;Digestion impaired;Diplopia;Discomfort;Disturbance in sexual arousal;Dizziness;Drowsiness;Dry skin;Dysmenorrhoea;Dyspareunia;Dyspepsia;Dysphonia;Dyspnoea;Ectropion of cervix;Embolism;Embolism venous;Endometrial cancer;Epilepsy;Erythema;Erythema multiforme;Erythema nodosum;Exacerbation of asthma;Excessive thirst;Extravasation;Facial paralysis;Fatigue;Fibrocystic breast disease;Flatulence;Fluid retention;Galactorrhoea;Gallbladder disorder;Gastrointestinal disorder;Gastrointestinal pain;Glucose tolerance decreased;Haemangioma;Haemoglobin;Haemorrhage;Headache;Hepatobiliary disease;Hirsutism;Hoarseness;Hot flush;Hypercalcaemia;Hyperhidrosis;Hyperplasia;Hypersensitivity;Hypocalcaemia;Immune system disorder;Infection;Influenza;Injection site pain;Injection site reaction;Insomnia;Irritability;Jaundice;Jaundice cholestatic;Jaundice neonatal;Leukorrhea;Libido decreased;Libido increased;Liver function test abnormal;Loss of consciousness;Loss of libido;Mass;Menometrorrhagia;Menopausal symptoms;Menorrhagia;Menstruation irregular;Mental disorder;Metrorrhagia;Migraine;Mood alteration NOS;Mood swings;Muscle spasms;Musculoskeletal discomfort;Myocardial infarction;Nasopharyngitis;Nausea;Neoplasm;Nervous system disorder;Nervousness;Oedema;Oligomenorrhoea;Optic neuritis;Osteoporosis;Osteoporotic fracture;Ovarian cancer;Pain in extremity;Pancreatitis;Paraesthesia;Paralysis;Pelvic pain;Pharyngitis;Porphyrin metabolism disorder;Premenstrual syndrome;Pruritus;Pulmonary embolism;Purpura;Raised liver function tests;Rash;Rash generalised;Rectal haemorrhage;Retinal vascular thrombosis;Scleroderma;Shock;Sinusitis;Skin disorder;Skin odour abnormal;Somnolence;Superficial phlebothrombosis;Sweating increased;Swelling;Syncope;Tachycardia;Tenderness;Tension;Thirst;Thromboembolism;Thrombophlebitis;Thrombophlebitis superficial;Thrombosis;Unintended pregnancy;Unspecified visual loss;Upper respiratory tract infection;Urinary tract infection;Urticaria;Uterine cervical erosion;Uterine leiomyoma;VIIth nerve paralysis;Vaginal cyst;Vaginal discharge;Vaginal haemorrhage;Vaginal infection;Vaginal inflammation;Vaginal moniliasis;Vaginitis bacterial;Varicose vein;Vomiting;Vulvovaginal candidiasis;Vulvovaginal mycotic infection;Weight increased,DB14570,Hydroxyprogesterone,,small molecule,experimental,"17-Hydroxypregn-4-en-3,20-dione; 17-hydroxyprogesterone; 17alpha-hydroxyprogesterone; 17α-hydroxyprogesterone; delta(4)-Pregnene-17alpha-ol-3,20-dione; Hidroxiprogesterona; Hydroxyprogesterone; Hydroxyprogesteronum; Pregn-4-ene-3,20-dione-17-ol; 1,4-cineole 2-exo-monooxygenase; 1,8-cineole 2-exo-monooxygenase; 1.14.14.1; Albendazole monooxygenase (sulfoxide-forming); Albendazole sulfoxidase; Cholesterol 25-hydroxylase; CYP3A3; CYPIIIA3; CYPIIIA4; Cytochrome P450 3A3; Cytochrome P450 HLp; Cytochrome P450 NF-25; Cytochrome P450-PCN1; Nifedipine oxidase; Quinine 3-monooxygenase",, G03DA03;G03AC06;G03FA02
CID100010660,dimenhydrinate,Meniere's disease;Motion sickness;Nausea;Vertigo;Vomiting,Agitation;Anorexia;Decreased appetite;Dermatitis;Dizziness;Drowsiness;Dry mouth;Dyspepsia;Dysuria;Epigastric distress;Fatigue;Headache;Insomnia;Lassitude;Nervousness;Rash;Somnolence;Tachycardia;Tension;Vision blurred,DB00985,Dimenhydrinate,"Dimehydrinate was first described in the literature in 1949,[A233120] and patented in 1950.[L32995] Early research into dimenhydrinate focused on its role as an antihistamine for urticaria; the treatment of motion sickness was an accidental discovery.[A233130]

Dimenhydrinate, also known as B-dimethylaminoethyl benzohydrol ether 8-chlorotheophyllinate, is indicated to prevent nausea, vomiting, and dizziness caused by motion sickness.[L32980,L32985,L32995] Dimenhydrinate is a combination of [Diphenhydramine] and [8-chlorotheophylline] in a salt form, with 53%-55.5% dried diphenhydramine, and 44%-47% died 8-chlorotheophylline.[L32985]

The antiemetic properties of dimenhydrinate are primarily thought to be produced by diphenhydramine's antagonism of H1 histamine receptors in the vestibular system[A1540] while the excitatory effects are thought to be produced by 8-chlorotheophylline's adenosine receptor blockade.[A33889]

When used in large doses, dimenhydrinate has been shown to cause a ""high"" characterized by hallucinations, excitement, incoordination, and disorientation.[A1539]

Dimenhydrinate was granted FDA approval on 31 May 1972.[L32975]",small molecule,approved,"(O-benzhydryl(dimethylamino)ethanol) 8-chlorotheophyllinate; 8-chloro-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione - 2-(diphenylmethoxy)-N,N-dimethylethanamine (1:1); Benzhydryl-β-dimethylaminoethylether 8-chlorotheophylline; Dimenhidrinato; Dimenhydrinate; Dimenhydrinatum; diphenhydramine 8-chlorotheophyllinate; diphenhydramine 8-chlorotheophylline; Diphenhydramine theoclate; N,N-dimethyl-2-diphenylmethoxyethylamine 8-chlorotheophyllinate; O-benzhydryldimethylaminoethanol 8-chlorotheophyllinate; β-dimethylaminoethyl benzhydryl ether 1,3-dimethyl-8-chloroxanthine; H1-R; H1R; HH1R",Histamine H1 receptor, R06AA61;R06AA11
CID100011125,lithium,Affective disorder;Aggression;Agitation;Bipolar I disorder;Bipolar depression;Bipolar disorder;Delusion of grandeur;Diuresis;Flight of ideas;Hostility;Hyperkinesia;Hypomania;Intoxication;Lithium poisoning;Mania;Mania acute;Manic episode;Poisoning;Polyuria;Pressure of speech;Toxicity to various agents,Abdominal discomfort;Abdominal pain;Acute dystonia;Agitation;Albuminuria;Allergic cutaneous angiitis;Alopecia;Anaemia;Angioedema;Anorexia;Appetite absent;Arrhythmia;Arthralgia;Asthenia;Ataxia;Benign intracranial hypertension;Blacked-out (not amnesia);Blindness;Blood creatinine decreased;Blood thyroid stimulating hormone increased;Body temperature increased;Bradycardia;Chest discomfort;Chest tightness;Choreoathetoid movements;Choreoathetosis;Clonic movements;Clonus;Cogwheel rigidity;Coma;Confusional state;Congenital limb hyperextension;Convulsion;Coordination abnormal;Creatinine low;Decreased appetite;Decreased tolerance;Dehydration;Dental caries;Depressed level of consciousness;Dermatitis;Diabetes insipidus;Diarrhoea;Discomfort;Disorientation;Dizziness;Drowsiness;Drug tolerance decreased;Dry mouth;Dry skin;Dysarthria;Dysgeusia;Dyspepsia;Dyspnoea;Dystonia;Electrocardiogram change;Electrolyte imbalance;Epilepsy;Erectile dysfunction;Euthyroid goiter;Exophthalmos;Extrapyramidal disorder;Extrapyramidal symptoms;Faecal incontinence;Fasciculation;Fatigue;Feeling abnormal;Flatulence;Fluid and electrolyte imbalance;Folliculitis;Gasping;Gastritis;Gastrointestinal discomfort;Gastrointestinal disorder;Gastrointestinal pain;Gastrointestinal symptom NOS;General discomfort;Glycosuria;Goiter nodular;Goitre;Hallucination;Headache;Hypercalcaemia;Hyperglycaemia;Hyperkinesia;Hypermagnesaemia;Hyperparathyroidism;Hyperreflexia;Hypersensitivity;Hyperthyroidism;Hypertonia;Hypertonicity;Hyperventilation;Hyponatraemia;Hypotension;Hypothyroidism;Infection;Intoxication;Intracranial pressure increased;Joint hyperextension;Leg ulcer;Lethargy;Leukocytoclastic vasculitis;Leukocytosis;Leukopenia;Lip swelling;Lithium toxicity;Loss of consciousness;Malnutrition;Mania;Manic episode;Memory impairment;Mental disorder due to a general medical condition;Muscle contractions involuntary;Muscle rigidity;Muscle twitching;Muscular weakness;Musculoskeletal discomfort;Myasthenia gravis;Myxoedema;Nausea;Nephrogenic diabetes insipidus;Nephropathy toxic;Nontoxic goiter;Nystagmus;Oedema;Oedema peripheral;Oliguria;Optic atrophy;Optic neuritis;Organic brain syndrome;Pain;Papilloedema;Peripheral coldness;Poisoning;Polyarthralgia;Polydipsia;Polyuria;Pruritus;Pruritus generalised;Psoriasis;Psoriasis flare-up;Psychomotor retardation;Pustular psoriasis;Rash;Renal failure;Renal impairment;Salivary gland enlargement;Salivary gland swelling;Salivary hypersecretion;Scotoma;Scotoma of blind spot area;Sexual dysfunction;Shock;Sinoatrial node dysfunction;Sinus arrhythmia;Skin disorder;Skin ulcer;Skin xerosis;Sluggishness;Slurred speech;Somnolence;Stupor;Swelling;Syncope;Taste metallic;Taste salty;Thirst;Thyrotoxicosis;Thyrotropin high;Tinnitus;Toxic symptom;Toxicity to various agents;Tremor;Tremor coarse;Tremor fine;Tremor muscle;Tremor of hands;Urinary incontinence;Urine output increased;Vertigo;Vision blurred;Vomiting;Weight decreased;Weight increased,,,,,,,,
CID100011973,Brolene,Acanthamoeba keratitis;Acute conjunctivitis;Blepharitis;Chronic conjunctivitis;Conjunctivitis;Eye discharge;Eye infection;Eyelid infection;Injury;Ophthalmia neonatorum,Burning sensation;Eye pain;Hypersensitivity;Pain;Skin sensitisation;Stinging,,,,,,,,
CID100012453,zuclopenthixol,Aggression;Agitation;Bipolar I disorder;Bipolar disorder;Chronic schizophrenia;Confusional state;Delusion;Disorientation;Feeling abnormal;Hallucination;Hostility;Mania;Mental disability;Mental retardation;Psychotic disorder;Schizophrenia;Senile dementia;Violence,"Abdominal pain;Abnormal dreams;Abnormal vision;Accommodation disorder;Agitation;Agranulocytosis;Akathisia;Alanine aminotransferase increased;Amenorrhoea;Amnesia;Anaphylactic shock;Angiopathy;Anorexia;Anxiety;Apathy;Arrhythmia;Asthenia;Ataxia;Blood and lymphatic system disorders;Blood bilirubin increased;Body temperature decreased;Body temperature increased;Breast disorder;Breast enlargement;Cardiac disorder;Coldness;Connective tissue disorder;Constipation;Convulsion;Decreased appetite;Dermatitis;Diarrhoea;Discomfort;Disturbance in attention;Disturbance in sexual arousal;Dizziness;Dizziness postural;Drowsiness;Drug withdrawal syndrome;Drug withdrawal syndrome neonatal;Dry mouth;Dyskinesia;Dyspepsia;Dyspnoea;Dysuria;Ear and labyrinth disorders;Ejaculation failure;Electrocardiogram QT prolonged;Embolism venous;Endocrine disorder;Eosinophilia;Erectile dysfunction;Erythema;Extrapyramidal disorder;Extrapyramidal symptoms;Eye disorder;Fatigue;Feeling abnormal;Feeling cold;Feeling hot;Female orgasmic disorder;Flat affect;Flatulence;Gait disturbance;Galactorrhoea;Gastrointestinal disorder;Gastrointestinal pain;Glaucoma;Glucose tolerance impaired;Glycosuria;Gynaecomastia;Haemolytic anaemia;Headache;Hepatitis cholestatic;Hepatobiliary disease;Hot flush;Hyperacusis;Hyperglycaemia;Hyperhidrosis;Hyperkinesia;Hyperlipidaemia;Hyperprolactinaemia;Hyperreflexia;Hypersensitivity;Hypertension;Hypertonia;Hypokinesia;Hypotension;Hypothermia;Hypotonia;Ileus paralytic;Ill-defined disorder;Immune system disorder;Increased appetite;Injection site reaction;Insomnia;Jaundice;Lenticular opacities;Leukopenia;Libido decreased;Libido increased;Liver function test abnormal;Loss of consciousness;Malaise;Malnutrition;Menopausal symptoms;Menstrual disorder;Menstruation irregular;Mental disorder;Micturition disorder;Migraine;Miosis;Movements involuntary;Muscle relaxant therapy;Muscle rigidity;Musculoskeletal discomfort;Myalgia;Mydriasis;Nasal congestion;Nasopharyngitis;Nausea;Nervous system disorder;Nervousness;Neuroleptic malignant syndrome;Neutropenia;Nightmare;Oculogyration;Oculogyric crisis;Oedema peripheral;Opisthotonus;Pain;Palpitations;Pancytopenia;Paraesthesia;Parkinsonism;Photosensitivity reaction;Pigmentation disorder;Polyuria;Pregnancy;Pregnancy test false positive;Priapism;Protrusion tongue;Pruritus;Pseudoparkinsonism;Purpura;Purpura non-thrombocytopenic;Rash;Rhinorrhoea;Salivary hypersecretion;Seborrhoeic dermatitis;Shock;Skin discolouration;Skin disorder;Somnolence;Speech disorder;Strangury;Sudden death;Sudden death, cause unknown;Sweating;Sweating increased;Syncope;Tachycardia;Tardive dyskinesia;Tension;Thirst;Thrombocytopenia;Thyroid disorder;Tinnitus;Torsade de pointes;Torticollis;Tremor;Trismus;Unspecified disorder of skin and subcutaneous tissue;Urethral disorder;Urinary retention;Urinary tract disorder;Urine output increased;Vascular purpura;Venous thromboembolism;Ventricular arrhythmia;Ventricular fibrillation;Ventricular tachycardia;Vertigo;Vision blurred;Visual impairment;Vomiting;Vulvovaginal dryness;Warmth;Weight decreased;Weight increased;Withdrawal symptom",DB01624,Zuclopenthixol,"Zuclopenthixol, also known as Zuclopentixol or Zuclopenthixolum, is an antipsychotic agent. Zuclopenthixol is a thioxanthene-based neuroleptic with therapeutic actions similar to the phenothiazine antipsychotics. It is an antagonist at D1 and D2 dopamine receptors. Major brands of zuclopenthixol are Cisordinol, Acuphase, and Clopixol. This drug is a liquid. This compound belongs to the thioxanthenes. These are organic polycyclic compounds containing a thioxanthene moiety, which is an aromatic tricycle derived from xanthene by replacing the oxygen atom with a sulfur atom. Known drug targets of zuclopenthixol include 5-hydroxytryptamine receptor 2A, D(1B) dopamine receptor, D(2) dopamine receptor, D(1A) dopamine receptor, and alpha-1A adrenergic receptor. It is known that zuclopenthixol is metabolized by Cytochrome P450 2D6. Zuclopenthixol was approved for use in Canada in 2011, but is not approved for use in the United States.",small molecule,approved; investigational,"(Z)-4-(3-(2-Chlorothioxanthen-9-ylidene)propyl)-1-piperazineethanol; Zuclopenthixol; Zuclopenthixolum; Zuclopentixol; Dopamine D1 receptor; D(5) dopamine receptor; D1beta dopamine receptor; Dopamine D5 receptor; DRD1B; DRD1L2; Dopamine D2 receptor; ADRA1C; Alpha-1A adrenoceptor; Alpha-1A adrenoreceptor; Alpha-1C adrenergic receptor; Alpha-adrenergic receptor 1c; ADRA2R; ADRAR; Alpha-2 adrenergic receptor subtype C10; Alpha-2A adrenoceptor; Alpha-2A adrenoreceptor; Alpha-2AAR; 5-HT-2; 5-HT-2A; HTR2; Serotonin receptor 2A; H1-R; H1R; HH1R; 1,4-cineole 2-exo-monooxygenase; 1,8-cineole 2-exo-monooxygenase; 1.14.14.1; Albendazole monooxygenase (sulfoxide-forming); Albendazole sulfoxidase; Cholesterol 25-hydroxylase; CYP3A3; CYPIIIA3; CYPIIIA4; Cytochrome P450 3A3; Cytochrome P450 HLp; Cytochrome P450 NF-25; Cytochrome P450-PCN1; Nifedipine oxidase; Quinine 3-monooxygenase; 1.14.14.-; Cholesterol 25-hydroxylase; CYP2DL1; CYPIID6; Cytochrome P450-DB1; Debrisoquine 4-hydroxylase",D(1A) dopamine receptor; D(1B) dopamine receptor; D(2) dopamine receptor; Alpha-1A adrenergic receptor; Alpha-2A adrenergic receptor; 5-hydroxytryptamine receptor 2A; Histamine H1 receptor,N05AF02;N05AF05
CID100012460,phendimetrazine,Obesity,Abdominal pain;Abdominal pain upper;Agitation;Anorexia;Blood pressure increased;Cardiac valve disease;Constipation;Decreased appetite;Diarrhoea;Dizziness;Drug abuse;Dysuria;Flushing;Headache;Hyperhidrosis;Insomnia;Nausea;Palpitations;Pollakiuria;Primary pulmonary hypertension;Psychotic disorder;Psychotic episode;Psychotic state;Pulmonary arterial hypertension;Stomach ache;Sweating;Tachycardia;Tremor;Vision blurred,DB01579,Phendimetrazine,Phendimetrazine is a weight loss medication. Phendimetrazine is chemically related to amphetamines and is a Schedule III drug under the Convention on Psychotropic Substances and in the US since 1970.,small molecule,approved; illicit,"(2S,3S)-3,4-dimethyl-2-phenylmorpholine; Phendimetrazine; ADRA1C; Alpha-1A adrenoceptor; Alpha-1A adrenoreceptor; Alpha-1C adrenergic receptor; Alpha-adrenergic receptor 1c; NAT1; NET; NET1; Norepinephrine transporter; SLC6A5; Solute carrier family 6 member 2; Alpha-1B adrenoceptor; Alpha-1B adrenoreceptor",Alpha-1A adrenergic receptor; Sodium-dependent noradrenaline transporter; Alpha-1B adrenergic receptor,
CID100012536,desonide,Dermatitis atopic;Skin disorder,Acneiform eruption;Allergic contact dermatitis;Application site atrophy;Application site burn;Application site erythema;Application site irritation;Application site pain;Application site pruritus;Application site rash;Application site reaction;Asthma;Atrophy;Blood pressure increased;Cough;Dermatitis;Dermatitis acneiform;Dermatitis contact;Dermatitis perioral;Erythema;Folliculitis;Headache;Hyperglycaemia;Hyperhidrosis;Induration;Infection;Infestation;Infestation NOS;Irritability;Leukoderma;Mediastinal disorder;Mental disorder;Miliaria;Nervous system disorder;Oedema peripheral;Pain;Pharyngitis;Pharyngitis streptococcal;Pruritus;Rash;Rash pustular;Secondary infection;Skin atrophy;Skin disorder;Skin exfoliation;Skin striae;Stinging;Sweating;Swelling face;Telangiectasia;Unspecified disorder of skin and subcutaneous tissue;Upper respiratory tract infection;Viral infection,DB01260,Desonide,A nonfluorinated corticosteroid anti-inflammatory agent used topically for dermatoses.,small molecule,approved; investigational,"11β,21-dihydroxy-16α,17-[(1-methylethylidene)bis(oxy)]pregna-1,4-diene-3,20-dione; 11β,21-dihydroxy-16α,17-isopropylidenedioxypregna-1,4-diene-3,20-dione; 11β,21-dihydroxy-16α,17α-isopropylidenedioxypregna-1,4-diene-3,20-dione; 16α-hydroxyprednisole-16,17-acetonide; 16α-hydroxyprednisolone-16α,17-acetonide; 16α,17α-isopropylidenedioxyprednisolone; Desfluorotriamcinolone acetonide; Desonida; Desonide; Desonidum; ERR-alpha; ERR1; ESRL1; Estrogen receptor-like 1; Estrogen-related receptor alpha; NR3B1; Nuclear receptor subfamily 3 group B member 1; ERR beta-2; ERR-beta; ERRB2; ESRL2; Estrogen receptor-like 2; Estrogen-related receptor beta; NR3B2; Nuclear receptor subfamily 3 group B member 2; ERR gamma-2; ERR3; ERRG2; Estrogen receptor-related protein 3; KIAA0832; NR3B3; Nuclear receptor subfamily 3 group B member 3; GR; GRL; Nuclear receptor subfamily 3 group C member 1; 1,4-cineole 2-exo-monooxygenase; 1,8-cineole 2-exo-monooxygenase; 1.14.14.1; Albendazole monooxygenase (sulfoxide-forming); Albendazole sulfoxidase; Cholesterol 25-hydroxylase; CYP3A3; CYPIIIA3; CYPIIIA4; Cytochrome P450 3A3; Cytochrome P450 HLp; Cytochrome P450 NF-25; Cytochrome P450-PCN1; Nifedipine oxidase; Quinine 3-monooxygenase",Steroid hormone receptor ERR1; Steroid hormone receptor ERR2; Estrogen-related receptor gamma; Glucocorticoid receptor, D07AB08; D07BB02;D07AB08;S01BA11
